longitude,latitude,housing_median_age,median_income,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,room_bedroom_ratio,avg_rooms_per_household,people_per_household,median_house_value
-122.28,37.82,52,1.6098,0,0,1,0,4.978723404,5.021459227,3.008583691,87500
-122.28,37.82,52,1.4113,0,0,1,0,3.888888889,4.295454545,2.618181818,83100
-122.28,37.82,52,1.5057,0,0,1,0,4.298611111,4.77992278,2.401544402,87500
-122.28,37.82,52,0.8172,0,0,1,0,4.444776119,6.102459016,2.983606557,85300
-122.28,37.82,52,1.2171,0,0,1,0,4.06744868,4.5625,3.532894737,80300
-122.29,37.82,2,2.5625,0,0,1,0,3.674418605,2.771929825,1.649122807,60000
-122.29,37.83,52,3.3929,0,0,1,0,5.312796209,5.994652406,2.962566845,75700
-122.29,37.82,49,6.1183,0,0,1,0,4.655172414,5.869565217,3.739130435,75000
-122.29,37.81,50,0.9011,0,0,1,0,4,6.229508197,3.090163934,86100
-122.3,37.81,52,1.191,0,0,1,0,5.164556962,7.698113208,3.27672956,76100
-122.3,37.81,48,2.5938,0,0,1,0,4.549450549,6.22556391,2.947368421,73500
-122.3,37.81,52,1.1667,0,0,1,0,4.832535885,5.401069519,3.229946524,78400
-122.3,37.81,48,0.8056,0,0,1,0,4.110169492,4.38253012,2.373493976,84400
-122.29,37.8,52,2.6094,0,0,1,0,4.209016393,6.986394558,3.346938776,81300
-122.3,37.81,52,1.8516,0,0,1,0,5.247706422,6.975609756,3.341463415,85000
-122.29,37.81,46,0.9802,0,0,1,0,4.349378882,4.584288052,2.983633388,129200
-122.29,37.81,26,1.7719,0,0,1,0,5.052631579,6.047244094,3.086614173,82500
-122.29,37.81,46,0.7286,0,0,1,0,3.148148148,3.375451264,2.101083032,95200
-122.29,37.81,49,1.75,0,0,1,0,4.137254902,5.552631579,3.684210526,75000
-122.29,37.81,46,0.4999,0,0,1,0,3,1.714285714,2.571428571,67500
-122.29,37.81,20,2.483,0,0,1,0,5.186335404,6.278195489,2.180451128,137500
-122.28,37.81,17,0.9241,0,0,1,0,2.677489177,2.817767654,1.735763098,177500
-122.28,37.81,36,2.4464,0,0,1,0,5.185053381,5.724950884,2.428290766,102100
-122.28,37.81,19,1.1111,0,0,1,0,4.967078189,5.830917874,3.483091787,108300
-122.29,37.81,23,0.8026,0,0,1,0,4.665775401,5.369230769,3.243076923,112500
-122.28,37.8,38,2.0114,0,0,1,0,3.886363636,4.412903226,2.219354839,131300
-122.28,37.81,17,1.5,0,0,1,0,3.197231834,3.197231834,2.107266436,162500
-122.27,37.81,52,1.1667,0,0,1,0,3.75,3.75,3.267857143,112500
-122.28,37.81,52,1.5208,0,0,1,0,3.505154639,3.908045977,2.298850575,112500
-122.28,37.81,52,0.8075,0,0,1,0,2.353658537,2.490322581,2.232258065,137500
-122.28,37.81,35,1.8088,0,0,1,0,5.152173913,5.609467456,2.763313609,118800
-122.28,37.81,52,2.4083,0,0,1,0,5.405594406,6.72173913,3.27826087,98200
-122.27,37.81,40,0.977,0,0,1,0,1.951219512,2.315789474,1.531578947,118800
-122.27,37.81,10,0.76,0,0,1,0,2.514367816,2.651515152,1.654545455,162500
-122.27,37.8,10,0.9722,0,0,1,0,2.5,2.692307692,3.205128205,137500
-122.27,37.8,52,1.2434,0,0,1,0,3.192307692,2.929411765,4.658823529,500001
-122.27,37.8,16,2.0938,0,0,1,0,2.535714286,2.745856354,2.209944751,162500
-122.28,37.8,52,0.8668,0,0,1,0,2.471264368,2.443181818,5.394812033,137500
-122.28,37.8,52,0.75,0,0,1,0,3.096774194,2.823529412,5.394812033,162500
-122.27,37.79,27,2.6354,0,0,1,0,3.040345821,3.493377483,2.377483444,187500
-122.27,37.8,39,1.8477,0,0,1,0,2.752808989,3.672376874,2.841541756,179200
-122.26,37.8,36,2.0096,0,0,1,0,2.151392814,2.294016358,1.493327594,130000
-122.26,37.82,31,2.8345,0,0,1,0,3.453042825,3.894915254,1.73559322,183800
-122.26,37.81,29,2.0062,0,0,1,0,3.130841121,3.681318681,2.21978022,125000
-122.26,37.82,22,1.2185,0,0,1,0,2.899212598,2.9456,1.6192,170000
-122.26,37.82,37,2.6104,0,0,1,0,3.348387097,3.707142857,1.875510204,193100
-122.25,37.81,29,2.4912,0,0,1,0,3.292786421,3.7248,1.8432,257800
-122.25,37.81,28,3.2177,0,0,1,0,3.621958827,3.878423514,1.712090848,273400
-122.25,37.81,39,3.125,0,0,1,0,3.52892562,3.745614035,1.706140351,237500
-122.25,37.81,52,2.5795,0,0,1,0,3.074179743,3.515497553,1.460032626,350000
-122.26,37.81,34,2.8406,0,0,1,0,3.067398119,3.281721632,1.503074343,335700
-122.24,37.82,52,4.9306,0,0,1,0,6.706666667,6.18442623,2.762295082,313400
-122.24,37.81,52,3.2727,0,0,1,0,4.203319502,4.442982456,1.554824561,268500
-122.25,37.81,52,3.1691,0,0,1,0,3.82173913,4.165876777,1.625592417,259400
-122.24,37.82,52,3.9,0,0,1,0,4.635153129,4.848189415,2.011142061,275700
-122.25,37.82,28,3.9063,0,0,1,0,3.902923977,4.16084788,1.895261845,225000
-122.25,37.82,52,5.0917,0,0,1,0,4.92733564,5.628458498,2.173913043,262500
-122.25,37.82,32,2.6429,0,0,1,0,3.469034608,3.727005871,1.767123288,218500
-122.25,37.82,26,3.0233,0,0,1,0,3.310200669,3.253081348,1.437140509,255000
-122.25,37.83,52,3.1484,0,0,1,0,4.250447227,4.578034682,1.809248555,224100
-122.25,37.83,35,3.4722,0,0,1,0,3.768691589,3.822274882,1.599526066,243100
-122.25,37.83,52,3.1429,0,0,1,0,4.456445993,4.395189003,1.835051546,231600
-122.25,37.83,28,2.4234,0,0,1,0,2.869714286,3.023479831,1.540036123,218500
-122.25,37.83,52,3.0897,0,0,1,0,3.791855204,4.040501446,1.722275796,234100
-122.23,37.84,50,5.8596,0,0,1,0,6.303258145,6.742627346,2.600536193,327600
-122.23,37.84,47,5.2868,0,0,1,0,6.99339207,6.546391753,2.263917526,347600
-122.24,37.83,41,5.956,0,0,1,0,6.344827586,6.85106383,2.111702128,366100
-122.24,37.85,37,4.9643,0,0,1,0,6.185185185,7.106382979,2.085106383,335000
-122.23,37.85,52,6.3434,0,0,1,0,6.812652068,6.947890819,2.632754342,373600
-122.24,37.84,52,5.1773,0,0,1,0,6.148083624,6.358558559,2.120720721,389500
-122.24,37.85,52,7.2354,0,0,1,0,7.156164384,7.117166213,2.455040872,391100
-122.22,37.85,28,5.457,0,0,1,0,5.044847328,5.530334728,2.124476987,337300
-122.22,37.84,50,7.5,0,0,1,0,6.205073996,6.127348643,2.152400835,295200
-122.21,37.84,44,6.0194,0,0,1,0,5.735343384,5.735343384,2.274706868,292300
-122.21,37.83,40,7.5544,0,0,1,0,7.40504451,7.631498471,2.470948012,411500
-122.2,37.84,30,6.0666,0,0,1,0,6.39017341,6.44606414,2.460641399,311500
-122.21,37.84,34,7.0548,0,0,1,0,6.2,6.125,2.298387097,325900
-122.19,37.84,18,11.6017,0,0,1,0,7.7,8.335051546,2.74742268,392600
-122.2,37.84,35,7.4882,0,0,1,0,6.22826087,6.467268623,2.41986456,319300
-122.21,37.83,34,6.8976,0,0,1,0,6.427664975,6.61227154,2.124020888,333300
-122.19,37.83,28,8.2049,0,0,1,0,7.206521739,6.978947368,2.436842105,335200
-122.2,37.83,26,8.401,0,0,1,0,7.125560538,7.530805687,2.568720379,351200
-122.19,37.83,29,6.8538,0,0,1,0,6.608856089,6.657992565,2.457249071,368900
-122.19,37.82,32,8.317,0,0,1,0,6.950757576,6.977186312,2.414448669,365900
-122.2,37.82,37,7.0175,0,0,1,0,6.790055249,6.982954545,2.386363636,366700
-122.2,37.82,39,6.3302,0,0,1,0,7.059925094,7.54,2.53,362800
-122.18,37.81,30,6.3624,0,0,1,0,7.684210526,5.615384615,2.423076923,483300
-122.21,37.82,52,7.0549,0,0,1,0,7.132132132,6.785714286,2.322857143,331400
-122.2,37.81,45,6.7851,0,0,1,0,6.798165138,6.957746479,2.504694836,323500
-122.21,37.8,50,2.8929,0,0,1,0,4.682644628,5.132246377,2.282608696,216700
-122.21,37.8,38,3.0812,0,0,1,0,4.213084112,4.628336756,1.952772074,233100
-122.21,37.81,52,5.2402,0,0,1,0,6.551886792,6.200892857,2.276785714,296400
-122.22,37.81,52,6.5217,0,0,1,0,5.88358209,6.399350649,2.483766234,273700
-122.22,37.8,52,3.2632,0,0,1,0,4.694623656,4.745652174,2.454347826,227700
-122.22,37.8,52,3.0298,0,0,1,0,4.926724138,5.183673469,2.433106576,199600
-122.22,37.8,52,4.5428,0,0,1,0,5.029574861,5.283495146,2.300970874,239800
-122.22,37.81,52,4.072,0,0,1,0,5.970501475,5.952941176,2.223529412,270100
-122.22,37.81,52,5.3509,0,0,1,0,5.492537313,5.650671785,1.984644914,302100
-122.23,37.8,52,3.1603,0,0,1,0,4.183127572,4.4291939,1.71459695,269500
-122.23,37.81,52,4.7708,0,0,1,0,6.257641921,6.727699531,2.873239437,314700
-122.22,37.81,52,8.1564,0,0,1,0,7.281094527,7.702631579,2.686842105,390100
-122.23,37.81,52,8.8793,0,0,1,0,7.928082192,8.972868217,3.337209302,410300
-122.24,37.81,52,6.8591,0,0,1,0,7.939297125,7.599388379,2.914373089,352400
-122.24,37.81,52,6.0302,0,0,1,0,6.260504202,5.8203125,2.4765625,287300
-122.23,37.81,52,7.508,0,0,1,0,7.709589041,7.994318182,2.494318182,348700
-122.24,37.81,52,2.7477,0,0,1,0,3.805454545,4.333333333,1.900621118,243800
-122.24,37.8,52,2.1944,0,0,1,0,5.285714286,5.074285714,2.057142857,211500
-122.25,37.8,52,3.0149,0,0,1,0,4.092156863,4.276639344,2.452868852,218400
-122.24,37.81,52,3.675,0,0,1,0,5.005976096,4.851351351,2.023166023,269900
-122.25,37.81,46,3.225,0,0,1,0,3.870658683,4.326639893,1.838018742,218800
-122.25,37.8,42,2.9345,0,0,1,0,3.868544601,4.0591133,1.689655172,225000
-122.25,37.8,43,2.1429,0,0,1,0,2.984848485,3.274238227,1.882271468,250000
-122.25,37.8,41,1.6121,0,0,1,0,3.136460554,3.561743341,2.571428571,171400
-122.25,37.8,29,1.3929,0,0,1,0,2.856481481,3.192755498,1.727037516,193800
-122.24,37.79,27,2.3173,0,0,1,0,3.317073171,3.804195804,2.72960373,125000
-122.25,37.79,45,1.7772,0,0,1,0,3.395437262,3.882608696,3.206521739,97500
-122.25,37.79,50,2.6458,0,0,1,0,3.345744681,3.209183673,3.785714286,125000
-122.25,37.79,52,2.181,0,0,1,0,3.42455243,3.688705234,2.991735537,138800
-122.25,37.8,36,2.2303,0,0,1,0,2.768976898,3.090239411,3.02946593,116700
-122.25,37.8,43,1.6504,0,0,1,0,3.622874807,3.639751553,2.655279503,151800
-122.24,37.8,52,2.2697,0,0,1,0,4.368421053,4.368421053,3.206140351,127000
-122.24,37.8,52,2.1563,0,0,1,0,4.26541555,4.585014409,3.221902017,128600
-122.24,37.8,52,2.1348,0,0,1,0,3.984924623,4.734328358,3.002985075,140600
-122.24,37.8,47,2.6292,0,0,1,0,3.479591837,3.693140794,2.189530686,182700
-122.23,37.8,52,2.3833,0,0,1,0,4.124567474,4.638132296,3.003891051,146900
-122.24,37.8,52,2.957,0,0,1,0,4.292857143,4.496259352,3.294264339,122800
-122.24,37.8,49,2.5238,0,0,1,0,3.789052069,4.192023634,2.196454948,169300
-122.23,37.8,52,1.9375,0,0,1,0,4.255434783,4.209677419,2.623655914,126600
-122.23,37.8,51,1.9028,0,0,1,0,3.84057971,4.056122449,2.420918367,127900
-122.23,37.8,50,2.25,0,0,1,0,3.6375,4.207228916,2.768674699,123500
-122.23,37.8,52,2.3929,0,0,1,0,4.18729097,4.471428571,3.014285714,111900
-122.23,37.79,43,2.1917,0,0,1,0,4.436755952,4.844029245,3.54752234,112800
-122.23,37.79,52,2.9357,0,0,1,0,4.513924051,4.327669903,4.026699029,107900
-122.23,37.79,30,1.8854,0,0,1,0,3.784090909,3.798479087,3.844106464,137500
-122.24,37.79,39,2.1638,0,0,1,0,3.408352668,3.776349614,3.763496144,105500
-122.24,37.79,47,2.125,0,0,1,0,3.473417722,4.528052805,4.082508251,95500
-122.24,37.79,52,3.375,0,0,1,0,3.744444444,4.011904762,3.851190476,116100
-122.24,37.79,43,2.2542,0,0,1,0,4.324468085,4.554621849,3.596638655,112200
-122.25,37.79,51,2.1,0,0,1,0,4.069767442,3.181818182,4.145454545,75000
-122.25,37.79,39,1.6,0,0,1,0,3.573643411,3.74796748,3.097560976,112500
-122.25,37.79,52,3.625,0,0,1,0,3.805907173,3.973568282,3.726872247,125000
-122.26,37.8,20,1.6929,0,0,1,0,3.046213094,3.51035503,2.454142012,115000
-122.22,37.77,52,1.6471,0,0,1,0,3.0546875,2.833333333,3.768115942,95000
-122.22,37.77,52,2.59,0,0,1,0,3.777408638,4.38996139,3.343629344,96400
-122.23,37.77,52,2.57,0,0,1,0,3.733009709,4.202185792,3.344262295,72000
-122.23,37.78,52,2.6429,0,0,1,0,3.232876712,3.746031746,3.293650794,71300
-122.23,37.78,52,3.0257,0,0,1,0,4.009302326,4.046948357,4.666666667,80800
-122.22,37.78,50,1.4886,0,0,1,0,3.622641509,4.025157233,3.19706499,128800
-122.23,37.78,43,1.9338,0,0,1,0,3.008474576,3.242009132,3.438356164,112500
-122.23,37.78,52,1.4844,0,0,1,0,3.821705426,3.866666667,3.952941176,119400
-122.23,37.78,44,1.6009,0,0,1,0,2.836363636,3.115845539,3.745672437,118100
-122.23,37.79,48,2.0375,0,0,1,0,4.282828283,4.944606414,4.317784257,122500
-122.23,37.79,49,2.293,0,0,1,0,5.414746544,5.365296804,3.922374429,106300
-122.22,37.79,37,2.1494,0,0,1,0,4.081881533,4.479923518,3.07456979,132500
-122.23,37.79,30,1.6198,0,0,1,0,4.206896552,4.357142857,3.035714286,122700
-122.23,37.79,40,1.3281,0,0,1,0,4.673366834,5.054347826,3.065217391,113300
-122.22,37.79,44,3.5156,0,0,1,0,4.73566879,5.466911765,3.533088235,109500
-122.22,37.79,52,3.9048,0,0,1,0,4.962318841,4.998540146,3.318248175,164700
-122.21,37.79,52,3.0893,0,0,1,0,4.010526316,3.907692308,3.076923077,125000
-122.22,37.79,46,2.6042,0,0,1,0,4.114782609,4.489563567,3.125237192,124700
-122.22,37.79,49,2.5,0,0,1,0,4.057777778,4.306603774,2.83254717,136700
-122.22,37.79,38,2.7969,0,0,1,0,4.288326301,4.626707132,3.28831563,141700
-122.2,37.79,29,2.8321,0,0,1,0,4.361702128,4.823529412,2.761764706,150000
-122.21,37.79,47,2.9583,0,0,1,0,5.026058632,5.284246575,2.941780822,138800
-122.21,37.79,34,2.8365,0,0,1,0,4.244165171,4.581395349,2.939922481,139200
-122.21,37.79,35,2.875,0,0,1,0,4.266503667,4.520725389,2.961139896,143800
-122.21,37.8,39,3.0682,0,0,1,0,4.006,4.316810345,2.390086207,156500
-122.21,37.8,39,3.0757,0,0,1,0,4.514541387,4.524663677,2.737668161,151000
-122.2,37.8,43,4.9559,0,0,1,0,6.102204409,6.692307692,2.450549451,273000
-122.2,37.8,52,4.7721,0,0,1,0,5.279863481,5.77238806,2.634328358,217100
-122.21,37.8,52,3.4861,0,0,1,0,4.949367089,4.984419263,2.66713881,187100
-122.2,37.8,41,5.1184,0,0,1,0,5.847457627,6.088235294,2.364705882,239600
-122.21,37.8,48,4.0977,0,0,1,0,5.022813688,5.242063492,2.007936508,229700
-122.19,37.8,48,4.744,0,0,1,0,6.540540541,7.117647059,2.56302521,257300
-122.19,37.8,46,4.2727,0,0,1,0,5.683284457,5.837349398,2.313253012,246900
-122.19,37.79,50,2.9844,0,0,1,0,4.964102564,5.260869565,2.510869565,179900
-122.2,37.79,40,4.1739,0,0,1,0,4.140625,4.510638298,2.838297872,169600
-122.2,37.8,46,3.8487,0,0,1,0,5.039506173,5.115288221,2.654135338,203300
-122.19,37.8,52,4.0114,0,0,1,0,6.6900369,6.545126354,2.299638989,263400
-122.19,37.79,45,4.6563,0,0,1,0,6.026607539,5.986784141,2.436123348,231800
-122.19,37.79,28,2.9297,0,0,1,0,4.131406045,4.69955157,2.596412556,140500
-122.2,37.79,35,2.3036,0,0,1,0,3.925925926,4.620512821,2.587179487,126000
-122.2,37.79,49,2.6667,0,0,1,0,4.523076923,4.2,3.50952381,122000
-122.2,37.79,44,2.619,0,0,1,0,3.586283186,3.301425662,2.757637475,134700
-122.21,37.79,45,2.4167,0,0,1,0,3.968105066,4.462025316,3.227848101,139400
-122.2,37.79,45,2.7788,0,0,1,0,3.827651515,4.210416667,2.9375,115400
-122.21,37.78,46,2.7352,0,0,1,0,4.407480315,3.934973638,2.44288225,137300
-122.21,37.78,52,1.8472,0,0,1,0,4.923333333,5.49070632,3.959107807,137000
-122.21,37.78,52,2.6583,0,0,1,0,4.714285714,4.310204082,3.232653061,142600
-122.21,37.78,49,3.0536,0,0,1,0,3.680327869,3.665306122,3.179591837,137500
-122.22,37.78,44,2.3906,0,0,1,0,4.18028169,4.86557377,3.719672131,111700
-122.21,37.78,43,1.7188,0,0,1,0,3.7,4.181818182,3.014742015,126800
-122.21,37.78,47,2.625,0,0,1,0,3.552419355,3.65560166,3.124481328,111300
-122.22,37.77,40,2.8015,0,0,1,0,4.333333333,3.659259259,4.051851852,114800
-122.22,37.78,50,1.7276,0,0,1,0,3.754756871,4.036363636,4.106818182,102300
-122.22,37.78,44,2.0801,0,0,1,0,3.26459144,3.38989899,3.434343434,131900
-122.22,37.78,51,2.489,0,0,1,0,3.535637149,4.165394402,3.926208651,119100
-122.21,37.76,52,1.7546,0,0,1,0,4.522292994,4.733333333,3.616666667,80600
-122.21,37.77,52,4.0904,0,0,1,0,3.416184971,4.313868613,2.576642336,80600
-122.21,37.77,52,2.6765,0,0,1,0,4.869281046,5,3.174496644,88800
-122.2,37.77,49,2.4338,0,0,1,0,4.562248996,4.703933747,3.35610766,102400
-122.21,37.77,46,2.3309,0,0,1,0,3.290666667,3.485875706,3.34180791,98700
-122.21,37.77,43,2.2604,0,0,1,0,3.100609756,3.671480144,3.018050542,100000
-122.19,37.77,42,1.8039,0,0,1,0,3.669291339,3.543726236,3.422053232,92300
-122.2,37.77,39,2.2562,0,0,1,0,4.504187605,5.00744879,3.515828678,94800
-122.2,37.77,41,2.0562,0,0,1,0,3.727710843,4.536656891,3.002932551,102000
-122.2,37.78,52,3.5398,0,0,1,0,5.191873589,5.437352246,2.895981087,158400
-122.2,37.78,39,3.1167,0,0,1,0,4.390977444,4.659574468,2.848404255,121600
-122.2,37.78,50,2.5401,0,0,1,0,4.632754342,4.939153439,2.984126984,129100
-122.2,37.77,43,2.898,0,0,1,0,4.84063745,5.020661157,3.175619835,121400
-122.21,37.78,44,2.3125,0,0,1,0,4.176328502,4.399491094,3.155216285,102800
-122.19,37.78,52,2.875,0,0,1,0,5.7,6.107142857,2.791666667,160000
-122.19,37.77,52,3.3715,0,0,1,0,5.070093458,5.105882353,2.555294118,143900
-122.19,37.77,52,3.5114,0,0,1,0,5.233707865,5.585131894,2.743405276,151200
-122.19,37.78,52,4.3125,0,0,1,0,6.004819277,6.645333333,2.957333333,164400
-122.19,37.78,52,3.22,0,0,1,0,5.536523929,5.956639566,2.666666667,156500
-122.18,37.78,33,3.875,0,0,1,0,4.580645161,3.021276596,5.394812033,225000
-122.19,37.78,49,5.2328,0,0,1,0,5.770731707,5.660287081,2.373205742,174200
-122.19,37.78,52,3.7262,0,0,1,0,5.544041451,5.631578947,2.921052632,166900
-122.2,37.78,45,4.5893,0,0,1,0,5.319277108,5.400611621,2.657492355,163500
-122.18,37.79,39,5.2578,0,0,1,0,6.494736842,5.820754717,2.226415094,253000
-122.18,37.79,41,7.0875,0,0,1,0,6.055793991,6.593457944,2.925233645,240700
-122.18,37.79,46,3.9712,0,0,1,0,5.449612403,6.410334347,2.802431611,208100
-122.19,37.79,47,2.9514,0,0,1,0,5.057613169,4.80078125,2.2734375,198100
-122.19,37.79,50,2.6667,0,0,1,0,4.396313364,4.746268657,2.71641791,172800
-122.18,37.81,37,5.4446,0,0,1,0,6.270992366,6.176691729,2.330827068,336700
-122.18,37.8,34,6.2838,0,0,1,0,6.948717949,6.948717949,2.266666667,318200
-122.18,37.8,23,6.7527,0,0,1,0,6.895833333,7.06402439,2.911585366,285800
-122.13,37.77,24,7.0712,0,0,1,0,7.757097792,7.589506173,2.827160494,293000
-122.16,37.79,22,5.9849,0,0,1,0,6.270507813,6.528723945,2.534316218,371000
-122.17,37.78,42,3.6875,0,0,1,0,5.861538462,5.707865169,2.438202247,157300
-122.17,37.77,30,2.875,0,0,1,0,4.45844504,4.731152205,2.423897582,135300
-122.18,37.78,43,3.4205,0,0,1,0,4.511363636,4.877149877,2.665847666,136700
-122.18,37.78,50,3.2984,0,0,1,0,5.099378882,5.781690141,2.51056338,160700
-122.17,37.78,49,3.875,0,0,1,0,5.04519774,4.933701657,2.585635359,140600
-122.17,37.78,52,4.175,0,0,1,0,5.1015625,5.396694215,2.446280992,144000
-122.16,37.77,47,4.375,0,0,1,0,,5.76146789,2.614678899,161900
-122.16,37.77,48,4.7708,0,0,1,0,5.036082474,5.427777778,2.477777778,156300
-122.16,37.77,45,3.5739,0,0,1,0,5.853904282,6.052083333,2.520833333,176000
-122.16,37.77,39,3.0958,0,0,1,0,4.535816619,5.009493671,2.712025316,145800
-122.17,37.77,39,3.3958,0,0,1,0,4.713450292,5.00621118,2.832298137,141900
-122.17,37.77,31,1.871,0,0,1,0,4.547842402,5.362831858,3.008849558,90700
-122.17,37.76,41,1.9356,0,0,1,0,4.343324251,4.490140845,3.025352113,90600
-122.17,37.76,47,2.1842,0,0,1,0,5.128329298,5.544502618,2.52617801,107900
-122.18,37.76,37,2.2917,0,0,1,0,4.399441341,4.921875,2.915625,107000
-122.17,37.76,38,2.4333,0,0,1,0,4.443324937,4.983050847,2.788135593,98200
-122.18,37.76,50,1.9479,0,0,1,0,4.54789272,4.825203252,3.68699187,89500
-122.18,37.76,52,3.9063,0,0,1,0,4.308571429,4.56969697,2.709090909,93800
-122.18,37.76,49,1.8407,0,0,1,0,5.10619469,5.11751663,2.880266075,96700
-122.18,37.77,27,2.0786,0,0,1,0,3.851694915,5.789808917,2.522292994,97500
-122.18,37.77,42,2.8125,0,0,1,0,4.591439689,4.402985075,3.27238806,97300
-122.18,37.76,43,1.8913,0,0,1,0,4.946078431,5.498637602,3.027247956,91200
-122.19,37.76,49,1.7056,0,0,1,0,4.85106383,5.085501859,2.936802974,91400
-122.18,37.77,52,2.2768,0,0,1,0,5.016453382,4.953068592,2.66967509,96200
